QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,AIRLINE_ID,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Total_Delay initial,Total_Delay,Departure_Delay_Status,Carrier_Delay_Status
1,1,1,4,NK,20416,12953,LGA,13930,ORD,916,46,46,1,1051,43,43,1,0,0,43,0,0,43,1,0,0
1,1,2,5,NK,20416,12953,LGA,13930,ORD,837,7,7,0,1020,12,12,0,0,0,0,0,0,0,0,0,0
1,1,3,6,NK,20416,12953,LGA,13930,ORD,821,-9,0,0,1015,7,7,0,0,0,0,0,0,0,0,0,0
1,1,4,7,NK,20416,12953,LGA,13930,ORD,836,6,6,0,1047,39,39,1,0,0,39,0,0,39,1,0,0
1,1,5,1,NK,20416,12953,LGA,13930,ORD,845,15,15,1,1122,74,74,1,0,0,74,0,0,74,1,0,0
1,1,6,2,NK,20416,12953,LGA,13930,ORD,923,53,53,1,1143,95,95,1,0,0,95,0,0,95,1,0,0
1,1,7,3,NK,20416,12953,LGA,13930,ORD,829,-1,0,0,958,-10,0,0,0,0,0,0,0,0,0,0,0
1,1,8,4,NK,20416,12953,LGA,13930,ORD,900,30,30,1,1044,36,36,1,0,0,36,0,0,36,1,0,0
1,1,9,5,NK,20416,12953,LGA,13930,ORD,855,25,25,1,1117,69,69,1,0,0,44,0,25,69,1,0,0
1,1,10,6,NK,20416,12953,LGA,13930,ORD,822,-8,0,0,958,-10,0,0,0,0,0,0,0,0,0,0,0
1,1,11,7,NK,20416,12953,LGA,13930,ORD,821,-9,0,0,1003,-5,0,0,0,0,0,0,0,0,0,0,0
1,1,12,1,NK,20416,12953,LGA,13930,ORD,838,8,8,0,1019,11,11,0,0,0,0,0,0,0,0,0,0
1,1,13,2,NK,20416,12953,LGA,13930,ORD,820,-10,0,0,1020,12,12,0,0,0,0,0,0,0,0,0,0
1,1,14,3,NK,20416,12953,LGA,13930,ORD,827,-3,0,0,949,-19,0,0,0,0,0,0,0,0,0,0,0
1,1,15,4,NK,20416,12953,LGA,13930,ORD,821,-9,0,0,953,-15,0,0,0,0,0,0,0,0,0,0,0
1,1,16,5,NK,20416,12953,LGA,13930,ORD,821,-9,0,0,954,-14,0,0,0,0,0,0,0,0,0,0,0
1,1,17,6,NK,20416,12953,LGA,13930,ORD,832,2,2,0,949,-19,0,0,0,0,0,0,0,0,0,0,0
1,1,18,7,NK,20416,12953,LGA,13930,ORD,822,-8,0,0,1013,5,5,0,0,0,0,0,0,0,0,0,0
1,1,19,1,NK,20416,12953,LGA,13930,ORD,821,-9,0,0,942,-26,0,0,0,0,0,0,0,0,0,0,0
1,1,20,2,NK,20416,12953,LGA,13930,ORD,821,-9,0,0,949,-19,0,0,0,0,0,0,0,0,0,0,0
1,1,21,3,NK,20416,12953,LGA,13930,ORD,819,-11,0,0,951,-17,0,0,0,0,0,0,0,0,0,0,0
1,1,22,4,NK,20416,12953,LGA,13930,ORD,823,-7,0,0,952,-16,0,0,0,0,0,0,0,0,0,0,0
1,1,23,5,NK,20416,12953,LGA,13930,ORD,820,-10,0,0,959,-9,0,0,0,0,0,0,0,0,0,0,0
1,1,24,6,NK,20416,12953,LGA,13930,ORD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,25,7,NK,20416,12953,LGA,13930,ORD,831,1,1,0,1000,-8,0,0,0,0,0,0,0,0,0,0,0
1,1,26,1,NK,20416,12953,LGA,13930,ORD,822,-8,0,0,1013,5,5,0,0,0,0,0,0,0,0,0,0
1,1,27,2,NK,20416,12953,LGA,13930,ORD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,28,3,NK,20416,12953,LGA,13930,ORD,822,-8,0,0,934,-34,0,0,0,0,0,0,0,0,0,0,0
1,1,29,4,NK,20416,12953,LGA,13930,ORD,825,-5,0,0,1025,17,17,1,0,0,17,0,0,17,1,0,0
1,1,30,5,NK,20416,12953,LGA,13930,ORD,844,14,14,0,1007,-1,0,0,0,0,0,0,0,0,0,0,0
1,1,31,6,NK,20416,12953,LGA,13930,ORD,822,-8,0,0,940,-28,0,0,0,0,0,0,0,0,0,0,0
1,1,1,4,NK,20416,12953,LGA,13930,ORD,2149,-6,0,0,2327,5,5,0,0,0,0,0,0,0,0,0,0
